Numero Ocorrencia,Data,,,Hora,Uf,,Br,Km,Latitude,Longitude,Natureza Enquadramento,,,Municipio,Envolvimento,Qtd Assalto a Caminhão,Qtde Envolvido,Qtde Veiculo
C1078316170507133000,6/5/2017,"Sábado, 6 de Maio de 2017",2017-05-06,15,GO,GOIÁS,364 ,104,-18.378199,-51.115899,461,ROUBO A CAMINHÃO,ROUBO,CACHOEIRA ALTA,Vítima,1,1,1
C1098731170508172700,8/5/2017,"Segunda-feira, 8 de Maio de 2017",2017-05-08,17,GO,GOIÁS,153 ,662,-18.063799,-49.268999,461,ROUBO A CAMINHÃO,ROUBO,GOIATUBA,Vítima,1,1,1
C1182744170125110800,25/1/2017,"Quarta-feira, 25 de Janeiro de 2017",2017-01-25,8,SP,SÃO PAULO,116 ,50,-22.735199,-45.083399,461,ROUBO A CAMINHÃO,ROUBO,LORENA,Vítima,1,1,2
C1183267170104154600,4/1/2017,"Quarta-feira, 4 de Janeiro de 2017",2017-01-04,14,PB,PARAÍBA,101 ,45,-6.880199,-35.131799,461,ROUBO A CAMINHÃO,ROUBO,MAMANGUAPE,Vítima,1,1,3
C1183894170309080100,9/3/2017,"Quinta-feira, 9 de Março de 2017",2017-03-09,8,NI,Não Informado,NI,-1,-1,-1,461,ROUBO A CAMINHÃO,ROUBO,NOVA IGUACU,Vítima,1,1,1
C1183894170504072700,4/5/2017,"Quinta-feira, 4 de Maio de 2017",2017-05-04,0,RJ,RIO DE JANEIRO,116 ,228,-22.666399,-43.846699,461,ROUBO A CAMINHÃO,ROUBO,PIRAI,Vítima,1,1,1
C1185285170524052700,23/5/2017,"Terça-feira, 23 de Maio de 2017",2017-05-23,15,BA,BAHIA,324 ,597,-12.737099,-38.439799,461,ROUBO A CAMINHÃO,ROUBO,CANDEIAS,Vítima,1,1,1
C1185288170515133000,15/5/2017,"Segunda-feira, 15 de Maio de 2017",2017-05-15,6,GO,GOIÁS,153 ,537,-17.019299,-49.221699,461,ROUBO A CAMINHÃO,ROUBO,HIDROLANDIA,Vítima,1,1,1
C1199853170511162700,11/5/2017,"Quinta-feira, 11 de Maio de 2017",2017-05-11,16,MT,MATO GROSSO,158 ,740,-15.399399,-52.200899,461,ROUBO A CAMINHÃO,ROUBO,BARRA DO GARCAS,Vítima,1,1,1
C1199904170116143200,16/1/2017,"Segunda-feira, 16 de Janeiro de 2017",2017-01-16,10,SP,SÃO PAULO,116 ,180,-23.335499,-46.143499,461,ROUBO A CAMINHÃO,ROUBO,GUARAREMA,Vítima,1,1,1
C1199934170327131500,27/3/2017,"Segunda-feira, 27 de Março de 2017",2017-03-27,12,PE,PERNAMBUCO,232 ,121,-8.301099,-35.914899,461,ROUBO A CAMINHÃO,ROUBO,CARUARU,Vítima,1,1,1
C1241413170620092500,20/6/2017,"Terça-feira, 20 de Junho de 2017",2017-06-20,0,BA,BAHIA,101 ,39,-11.804199,-37.958099,461,ROUBO A CAMINHÃO,ROUBO,ESPLANADA,Vítima,1,1,3
C1286973170223030800,23/2/2017,"Quinta-feira, 23 de Fevereiro de 2017",2017-02-23,1,PB,PARAÍBA,101 ,63,-7.024299,-35.061099,461,ROUBO A CAMINHÃO,ROUBO,SANTA RITA,Vítima,1,5,5
C1286973170311024700,11/3/2017,"Sábado, 11 de Março de 2017",2017-03-11,1,PB,PARAÍBA,101 ,62,-7.015499,-35.061499,461,ROUBO A CAMINHÃO,ROUBO,MAMANGUAPE,Vítima,1,1,1
C1286973170403191100,3/4/2017,"Segunda-feira, 3 de Abril de 2017",2017-04-03,1,PB,PARAÍBA,101 ,59,-6.990599,-35.071199,461,ROUBO A CAMINHÃO,ROUBO,MAMANGUAPE,Vítima,1,2,2
C1286973170502051300,1/5/2017,"Segunda-feira, 1 de Maio de 2017",2017-05-01,23,PB,PARAÍBA,101 ,68,-7.055599,-35.030699,461,ROUBO A CAMINHÃO,ROUBO,SANTA RITA,Vítima,1,3,3
C1301360170217064500,16/2/2017,"Quinta-feira, 16 de Fevereiro de 2017",2017-02-16,18,GO,GOIÁS,153 ,661,-18.054899,-49.269399,461,ROUBO A CAMINHÃO,ROUBO,GOIATUBA,Vítima,1,1,1
C1301360170504063000,4/5/2017,"Quinta-feira, 4 de Maio de 2017",2017-05-04,0,GO,GOIÁS,060 ,127,-16.541199,-49.149499,461,ROUBO A CAMINHÃO,ROUBO,GOIANAPOLIS,Vítima,1,2,1
C1301449170619032500,19/6/2017,"Segunda-feira, 19 de Junho de 2017",2017-06-19,0,BA,BAHIA,101 ,17,-11.623399,-37.885299,461,ROUBO A CAMINHÃO,ROUBO,RIO REAL,Vítima,1,2,1
C1301494170506110000,6/5/2017,"Sábado, 6 de Maio de 2017",2017-05-06,10,RJ,RIO DE JANEIRO,393 ,146,-22.049799,-43.017799,461,ROUBO A CAMINHÃO,ROUBO,TRES RIOS,Envolvido,1,1,0
C1301498170515081000,14/5/2017,"Domingo, 14 de Maio de 2017",2017-05-14,8,NI,Não Informado,NI,-1,-1,-1,461,ROUBO A CAMINHÃO,ROUBO,CUIABA,Vítima,1,1,1
C1301560170313203400,13/3/2017,"Segunda-feira, 13 de Março de 2017",2017-03-13,20,NI,Não Informado,NI,-1,-1,-1,461,ROUBO A CAMINHÃO,ROUBO,JUQUIA,Vítima,1,1,1
C1301759170509054800,9/5/2017,"Terça-feira, 9 de Maio de 2017",2017-05-09,5,AL,ALAGOAS,423 ,8,-9.142999,-37.360199,461,ROUBO A CAMINHÃO,ROUBO,OURO BRANCO,Vítima,1,1,1
C1301891170515073600,15/5/2017,"Segunda-feira, 15 de Maio de 2017",2017-05-15,3,TO,TOCANTINS,153 ,572,-10.841399,-48.904499,461,ROUBO A CAMINHÃO,ROUBO,SANTA RITA DO TOCANTINS,Vítima,1,1,2
C1307093170131021600,30/1/2017,"Segunda-feira, 30 de Janeiro de 2017",2017-01-30,22,AL,ALAGOAS,101 ,228,-10.100199,-36.707599,461,ROUBO A CAMINHÃO,ROUBO,PORTO REAL DO COLEGIO,Vítima,1,2,2
C1308896170512220900,12/5/2017,"Sexta-feira, 12 de Maio de 2017",2017-05-12,16,AL,ALAGOAS,101 ,87,-9.481799,-35.887299,461,ROUBO A CAMINHÃO,ROUBO,RIO LARGO,Vítima,1,2,1
